Country	Continent	Visa-Free Days	Policies	Policy End Date	Last Check
Albania	Europe	30 days (720 hrs)	Mutual-90-Limit	Endless	2025-5-24
Antigua and Barbuda	North America	30 days (720 hrs)	Mutual-30-Limit-180	Endless	2025-5-24
Armenia	Asia	30 days (720 hrs)	Mutual-90-Limit	Endless	2025-5-24
Bahamas	North America	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Barbados	North America	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Belarus	Europe	30 days (720 hrs)	Mutual-30-Limit-360, Regional-30, Transit-10	Endless	2025-5-24
Bosnia and Herzegovina	Europe	30 days (720 hrs)	Mutual-30-Limit-180, Regional-30, Transit-10	Endless	2025-5-24
Dominica	North America	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Ecuador	South America	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Fiji	Oceania	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Georgia	Asia	30 days (720 hrs)	Mutual-30-Limit-180	Endless	2025-5-24
Grenada	North America	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Kazakhstan	Asia	30 days (720 hrs)	Mutual-30-Limit-180, Regional-30	Endless	2025-5-24
Maldives	Asia	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Mauritius	Africa	30 days (720 hrs)	Mutual-60	Endless	2025-5-24
Qatar	Asia	30 days (720 hrs)	Mutual-30, Regional-30, Transit-10	Endless	2025-5-24
Samoa	Oceania	30 days (720 hrs)	Mutual-30-Limit-180	Endless	2025-5-24
San Marino	Europe	30 days (720 hrs)	Mutual-90	Endless	2025-5-24
Serbia	Europe	30 days (720 hrs)	Mutual-30-Valid, Regional-30, Transit-10	Endless	2025-5-24
Seychelles	Africa	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Singapore	Asia	30 days (720 hrs)	Mutual-30, Regional-30, Transit-10	Endless	2025-5-24
Solomon Islands	Oceania	30 days (720 hrs)	Mutual-30-Limit-180	Endless	2025-5-24
Suriname	South America	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Thailand	Asia	30 days (720 hrs)	Mutual-30-Limit-180, Regional-30	Endless	2025-5-24
Tonga	Oceania	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
United Arab Emirates	Asia	30 days (720 hrs)	Mutual-30-Valid, Regional-30, Transit-10	Endless	2025-5-24
Uzbekistan	Asia	30 days (720 hrs)	Mutual-30-Limit-180	Endless	2025-5-24
Andorra	Europe	30 days (720 hrs)	Unilateral-30-2025-12	2025-12-31	2025-5-24
Argentina	South America	30 days (720 hrs)	Unilateral-30-2026-05, Regional-30, Transit-10	2026-05-31	2025-5-24
Australia	Oceania	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Austria	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Belgium	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Brazil	South America	30 days (720 hrs)	Unilateral-30-2026-05, Regional-30, Transit-10	2026-05-31	2025-5-24
Brunei	Asia	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Bulgaria	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Chile	South America	30 days (720 hrs)	Unilateral-30-2026-05, Regional-30, Transit-10	2026-05-31	2025-5-24
Croatia	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Cyprus	Asia	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Denmark	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Estonia	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Finland	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
France	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Germany	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Greece	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Hungary	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Iceland	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Ireland	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Italy	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Japan	Asia	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Korea (the Republic of Korea)	Asia	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Latvia	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Liechtenstein	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30	2025-12-31	2025-5-24
Luxembourg	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Malaysia	Asia	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30	2025-12-31	2025-5-24
Malta	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Monaco	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Montenegro	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Netherlands (Holland)	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
New Zealand	Oceania	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
North Macedonia	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Norway	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Peru	South America	30 days (720 hrs)	Unilateral-30-2026-05	2026-05-31	2025-5-24
Poland	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Portugal	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Romania	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Slovakia	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Slovenia	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Spain	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Switzerland	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Uruguay	South America	30 days (720 hrs)	Unilateral-30-2026-05	2026-05-31	2025-5-24
Canada	North America	30 days (720 hrs)	Regional-30, Transit-10	N/A	2025-5-24
Czech Republic  	Europe	30 days (720 hrs)	Regional-30, Transit-10	N/A	2025-5-24
Indonesia	Asia	30 days (720 hrs)	Regional-30	N/A	2025-5-24
Lithuania	Europe	30 days (720 hrs)	Regional-30, Transit-10	N/A	2025-5-24
Mexico	North America	30 days (720 hrs)	Regional-30, Transit-10	N/A	2025-5-24
Philippines	Asia	30 days (720 hrs)	Regional-30	N/A	2025-5-24
Russia	Europe	30 days (720 hrs)	Regional-30, Transit-10	N/A	2025-5-24
Sweden	Europe	30 days (720 hrs)	Regional-30, Transit-10	N/A	2025-5-24
United Kingdom	Europe	30 days (720 hrs)	Regional-30, Transit-10	N/A	2025-5-24
United States	North America	30 days (720 hrs)	Regional-30, Transit-10	N/A	2025-5-24
Ukraine	Europe	30 days (720 hrs)	Regional-30, Transit-10	N/A	2025-5-24